model,approach,history,history_frames,allowed_interval_s,actionable,missed,too_early,too_late,total_events,warning,missed_rate,missed_lower,missed_upper,missed_result,too_late_rate,too_late_lower,too_late_upper,too_late_result,actionable_rate,actionable_lower,actionable_upper,actionable_result,too_early_rate,too_early_lower,too_early_upper,too_early_result,warning_rate,warning_lower,warning_upper,warning_result
internvl,appfr,H02,2,1,9,7,59,11,86,79,0.08139534883720931,0.03998643153878242,0.15860182665393202,7/86 (8.14%; 95% CI 4.00–15.86%),0.12790697674418605,0.07294621791742709,0.21468778936498575,11/86 (12.79%; 95% CI 7.29–21.47%),0.10465116279069768,0.056040897145363075,0.18707023559220054,9/86 (10.47%; 95% CI 5.60–18.71%),0.686046511627907,0.5817959683851581,0.7743870279736356,59/86 (68.60%; 95% CI 58.18–77.44%),0.9186046511627907,0.8413981733460679,0.9600135684612175,79/86 (91.86%; 95% CI 84.14–96.00%)
internvl,appfr,H14,14,2,8,9,55,14,86,77,0.10465116279069768,0.056040897145363075,0.18707023559220054,9/86 (10.47%; 95% CI 5.60–18.71%),0.16279069767441862,0.09952131046989598,0.25489700862979064,14/86 (16.28%; 95% CI 9.95–25.49%),0.09302325581395349,0.04789228421527053,0.1729574112498685,8/86 (9.30%; 95% CI 4.79–17.30%),0.6395348837209303,0.5341068512119144,0.7330303960571808,55/86 (63.95%; 95% CI 53.41–73.30%),0.8953488372093024,0.8129297644077995,0.943959102854637,77/86 (89.53%; 95% CI 81.29–94.40%)
internvl,appfr,H14,14,3,10,9,53,14,86,77,0.10465116279069768,0.056040897145363075,0.18707023559220054,9/86 (10.47%; 95% CI 5.60–18.71%),0.16279069767441862,0.09952131046989598,0.25489700862979064,14/86 (16.28%; 95% CI 9.95–25.49%),0.11627906976744186,0.06440045821928717,0.20097211179070104,10/86 (11.63%; 95% CI 6.44–20.10%),0.6162790697674418,0.5106287727439646,0.7119855999802814,53/86 (61.63%; 95% CI 51.06–71.20%),0.8953488372093024,0.8129297644077995,0.943959102854637,77/86 (89.53%; 95% CI 81.29–94.40%)
internvl,appfr,H14,14,4,12,9,51,14,86,77,0.10465116279069768,0.056040897145363075,0.18707023559220054,9/86 (10.47%; 95% CI 5.60–18.71%),0.16279069767441862,0.09952131046989598,0.25489700862979064,14/86 (16.28%; 95% CI 9.95–25.49%),0.13953488372093023,0.08165847155571476,0.22823697299912266,12/86 (13.95%; 95% CI 8.17–22.82%),0.5930232558139535,0.487382730957907,0.6907087672214898,51/86 (59.30%; 95% CI 48.74–69.07%),0.8953488372093024,0.8129297644077995,0.943959102854637,77/86 (89.53%; 95% CI 81.29–94.40%)
internvl,appfr,H14,14,5,14,9,49,14,86,77,0.10465116279069768,0.056040897145363075,0.18707023559220054,9/86 (10.47%; 95% CI 5.60–18.71%),0.16279069767441862,0.09952131046989598,0.25489700862979064,14/86 (16.28%; 95% CI 9.95–25.49%),0.16279069767441862,0.09952131046989598,0.25489700862979064,14/86 (16.28%; 95% CI 9.95–25.49%),0.5697674418604651,0.46436203379906343,0.6692065898354842,49/86 (56.98%; 95% CI 46.44–66.92%),0.8953488372093024,0.8129297644077995,0.943959102854637,77/86 (89.53%; 95% CI 81.29–94.40%)
internvl,appfr,H16,16,1,5,10,58,13,86,76,0.11627906976744186,0.06440045821928717,0.20097211179070104,10/86 (11.63%; 95% CI 6.44–20.10%),0.1511627906976744,0.09052122983132334,0.24163565199593867,13/86 (15.12%; 95% CI 9.05–24.16%),0.05813953488372093,0.025086935621079658,0.12897844802678554,5/86 (5.81%; 95% CI 2.51–12.90%),0.6744186046511628,0.569778553659483,0.7641430054268858,58/86 (67.44%; 95% CI 56.98–76.41%),0.8837209302325582,0.7990278882092989,0.9355995417807128,76/86 (88.37%; 95% CI 79.90–93.56%)
internvl,appfr,H16,16,2,8,10,55,13,86,76,0.11627906976744186,0.06440045821928717,0.20097211179070104,10/86 (11.63%; 95% CI 6.44–20.10%),0.1511627906976744,0.09052122983132334,0.24163565199593867,13/86 (15.12%; 95% CI 9.05–24.16%),0.09302325581395349,0.04789228421527053,0.1729574112498685,8/86 (9.30%; 95% CI 4.79–17.30%),0.6395348837209303,0.5341068512119144,0.7330303960571808,55/86 (63.95%; 95% CI 53.41–73.30%),0.8837209302325582,0.7990278882092989,0.9355995417807128,76/86 (88.37%; 95% CI 79.90–93.56%)
internvl,appfr,H16,16,3,10,10,53,13,86,76,0.11627906976744186,0.06440045821928717,0.20097211179070104,10/86 (11.63%; 95% CI 6.44–20.10%),0.1511627906976744,0.09052122983132334,0.24163565199593867,13/86 (15.12%; 95% CI 9.05–24.16%),0.11627906976744186,0.06440045821928717,0.20097211179070104,10/86 (11.63%; 95% CI 6.44–20.10%),0.6162790697674418,0.5106287727439646,0.7119855999802814,53/86 (61.63%; 95% CI 51.06–71.20%),0.8837209302325582,0.7990278882092989,0.9355995417807128,76/86 (88.37%; 95% CI 79.90–93.56%)
internvl,appfr,H16,16,4,12,10,51,13,86,76,0.11627906976744186,0.06440045821928717,0.20097211179070104,10/86 (11.63%; 95% CI 6.44–20.10%),0.1511627906976744,0.09052122983132334,0.24163565199593867,13/86 (15.12%; 95% CI 9.05–24.16%),0.13953488372093023,0.08165847155571476,0.22823697299912266,12/86 (13.95%; 95% CI 8.17–22.82%),0.5930232558139535,0.487382730957907,0.6907087672214898,51/86 (59.30%; 95% CI 48.74–69.07%),0.8837209302325582,0.7990278882092989,0.9355995417807128,76/86 (88.37%; 95% CI 79.90–93.56%)
internvl,appfr,H16,16,5,14,10,49,13,86,76,0.11627906976744186,0.06440045821928717,0.20097211179070104,10/86 (11.63%; 95% CI 6.44–20.10%),0.1511627906976744,0.09052122983132334,0.24163565199593867,13/86 (15.12%; 95% CI 9.05–24.16%),0.16279069767441862,0.09952131046989598,0.25489700862979064,14/86 (16.28%; 95% CI 9.95–25.49%),0.5697674418604651,0.46436203379906343,0.6692065898354842,49/86 (56.98%; 95% CI 46.44–66.92%),0.8837209302325582,0.7990278882092989,0.9355995417807128,76/86 (88.37%; 95% CI 79.90–93.56%)
internvl,appfr,H18,18,1,6,2,63,15,86,84,0.023255813953488372,0.0064009262042708515,0.08088014562632057,2/86 (2.33%; 95% CI 0.64–8.09%),0.1744186046511628,0.10864769842075103,0.2680320579513602,15/86 (17.44%; 95% CI 10.86–26.80%),0.06976744186046512,0.032365414509921336,0.14396140641036848,6/86 (6.98%; 95% CI 3.24–14.40%),0.7325581395348837,0.6305495916710698,0.8146791537774222,63/86 (73.26%; 95% CI 63.05–81.47%),0.9767441860465116,0.9191198543736794,0.9935990737957292,84/86 (97.67%; 95% CI 91.91–99.36%)
