model,approach,history,accuracy_significant_wins,macro_f1_significant_wins,accuracy_win_tier,macro_f1_win_tier,allowed_interval_s,total_events,actionable,actionable_rate,too_early,too_early_rate,too_late,too_late_rate,missed,missed_rate,warning,warning_rate
internvl,appod,H14,5,2,1,1,4,86,14,0.1627906976744186,52,0.6046511627906976,12,0.1395348837209302,8,0.0930232558139534,78,0.9069767441860463
internvl,appod,H14,5,2,1,1,5,86,16,0.1860465116279069,50,0.5813953488372093,12,0.1395348837209302,8,0.0930232558139534,78,0.9069767441860463
internvl,appod,H16,2,2,4,1,1,86,5,0.0581395348837209,61,0.7093023255813954,11,0.127906976744186,9,0.1046511627906976,77,0.8953488372093024
internvl,appod,H16,2,2,4,1,2,86,8,0.0930232558139534,58,0.6744186046511628,11,0.127906976744186,9,0.1046511627906976,77,0.8953488372093024
internvl,appod,H16,2,2,4,1,3,86,12,0.1395348837209302,54,0.627906976744186,11,0.127906976744186,9,0.1046511627906976,77,0.8953488372093024
internvl,appod,H16,2,2,4,1,4,86,13,0.1511627906976744,53,0.6162790697674418,11,0.127906976744186,9,0.1046511627906976,77,0.8953488372093024
internvl,appod,H16,2,2,4,1,5,86,16,0.1860465116279069,50,0.5813953488372093,11,0.127906976744186,9,0.1046511627906976,77,0.8953488372093024
internvl,appod,H18,1,2,5,1,1,86,6,0.0697674418604651,62,0.7209302325581395,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H18,1,2,5,1,2,86,9,0.1046511627906976,59,0.686046511627907,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H18,1,2,5,1,3,86,14,0.1627906976744186,54,0.627906976744186,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H18,1,2,5,1,4,86,15,0.1744186046511628,53,0.6162790697674418,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H18,1,2,5,1,5,86,17,0.1976744186046511,51,0.5930232558139535,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H20,1,2,5,1,1,86,6,0.0697674418604651,62,0.7209302325581395,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
