model,approach,history,history_frames,warning_result,missed_result,too_late_result
qwen,appfr,H18,18,49/86 (56.98%; 95% CI 46.44–66.92%),37/86 (43.02%; 95% CI 33.08–53.56%),8/86 (9.30%; 95% CI 4.79–17.30%)
qwen,appfr,H20,20,48/86 (55.81%; 95% CI 45.29–65.84%),38/86 (44.19%; 95% CI 34.16–54.71%),9/86 (10.47%; 95% CI 5.60–18.71%)
qwen,appfr,H22,22,45/86 (52.33%; 95% CI 41.90–62.55%),41/86 (47.67%; 95% CI 37.45–58.10%),8/86 (9.30%; 95% CI 4.79–17.30%)
qwen,appfr,H24,24,46/86 (53.49%; 95% CI 43.02–63.65%),40/86 (46.51%; 95% CI 36.35–56.98%),9/86 (10.47%; 95% CI 5.60–18.71%)
qwen,appfr,H26,26,46/86 (53.49%; 95% CI 43.02–63.65%),40/86 (46.51%; 95% CI 36.35–56.98%),7/86 (8.14%; 95% CI 4.00–15.86%)
qwen,appfr,H28,28,44/86 (51.16%; 95% CI 40.78–61.45%),42/86 (48.84%; 95% CI 38.55–59.22%),6/86 (6.98%; 95% CI 3.24–14.40%)
qwen,appfr,H30,30,44/86 (51.16%; 95% CI 40.78–61.45%),42/86 (48.84%; 95% CI 38.55–59.22%),7/86 (8.14%; 95% CI 4.00–15.86%)
qwen,appfr,H32,32,39/86 (45.35%; 95% CI 35.25–55.84%),47/86 (54.65%; 95% CI 44.16–64.75%),6/86 (6.98%; 95% CI 3.24–14.40%)
qwen,appod,H02,2,80/86 (93.02%; 95% CI 85.60–96.76%),6/86 (6.98%; 95% CI 3.24–14.40%),12/86 (13.95%; 95% CI 8.17–22.82%)
qwen,appod,H04,4,81/86 (94.19%; 95% CI 87.10–97.49%),5/86 (5.81%; 95% CI 2.51–12.90%),14/86 (16.28%; 95% CI 9.95–25.49%)
qwen,appod,H06,6,78/86 (90.70%; 95% CI 82.70–95.21%),8/86 (9.30%; 95% CI 4.79–17.30%),12/86 (13.95%; 95% CI 8.17–22.82%)
qwen,appod,H08,8,79/86 (91.86%; 95% CI 84.14–96.00%),7/86 (8.14%; 95% CI 4.00–15.86%),13/86 (15.12%; 95% CI 9.05–24.16%)
qwen,appod,H10,10,77/86 (89.53%; 95% CI 81.29–94.40%),9/86 (10.47%; 95% CI 5.60–18.71%),11/86 (12.79%; 95% CI 7.29–21.47%)
qwen,appod,H12,12,73/86 (84.88%; 95% CI 75.84–90.95%),13/86 (15.12%; 95% CI 9.05–24.16%),9/86 (10.47%; 95% CI 5.60–18.71%)
qwen,appod,H14,14,71/86 (82.56%; 95% CI 73.20–89.14%),15/86 (17.44%; 95% CI 10.86–26.80%),10/86 (11.63%; 95% CI 6.44–20.10%)
qwen,appod,H16,16,72/86 (83.72%; 95% CI 74.51–90.05%),14/86 (16.28%; 95% CI 9.95–25.49%),14/86 (16.28%; 95% CI 9.95–25.49%)
qwen,appod,H18,18,66/86 (76.74%; 95% CI 66.79–84.41%),20/86 (23.26%; 95% CI 15.59–33.21%),11/86 (12.79%; 95% CI 7.29–21.47%)
qwen,appod,H20,20,68/86 (79.07%; 95% CI 69.32–86.33%),18/86 (20.93%; 95% CI 13.67–30.68%),10/86 (11.63%; 95% CI 6.44–20.10%)
qwen,appod,H22,22,66/86 (76.74%; 95% CI 66.79–84.41%),20/86 (23.26%; 95% CI 15.59–33.21%),11/86 (12.79%; 95% CI 7.29–21.47%)
qwen,appod,H24,24,64/86 (74.42%; 95% CI 64.29–82.46%),22/86 (25.58%; 95% CI 17.54–35.71%),8/86 (9.30%; 95% CI 4.79–17.30%)
qwen,appod,H26,26,69/86 (80.23%; 95% CI 70.60–87.28%),17/86 (19.77%; 95% CI 12.72–29.40%),10/86 (11.63%; 95% CI 6.44–20.10%)
qwen,appod,H28,28,68/86 (79.07%; 95% CI 69.32–86.33%),18/86 (20.93%; 95% CI 13.67–30.68%),9/86 (10.47%; 95% CI 5.60–18.71%)
qwen,appod,H30,30,69/86 (80.23%; 95% CI 70.60–87.28%),17/86 (19.77%; 95% CI 12.72–29.40%),11/86 (12.79%; 95% CI 7.29–21.47%)
qwen,appod,H32,32,66/86 (76.74%; 95% CI 66.79–84.41%),20/86 (23.26%; 95% CI 15.59–33.21%),10/86 (11.63%; 95% CI 6.44–20.10%)
