approach,history,history_frames,metric,friedman_holm_p,model_1,model_2,n_pairs,wilcoxon_statistic,raw_p,median_difference_model1_minus_model2,rank_biserial_model1_minus_model2,holm_p,significant,significant_better_model
appfr,H20,20,macro_f1,0.006298704650481228,qwen,internvl,25,52.0,0.002025127410888672,0.05748253072429721,0.68,0.004358232021331787,True,qwen
appfr,H20,20,macro_f1,0.006298704650481228,qwen,llava,25,145.0,0.6528410911560059,-0.0057076142790735696,-0.1076923076923077,0.6528410911560059,False,No difference
appfr,H20,20,macro_f1,0.006298704650481228,internvl,llava,25,49.0,0.0014527440071105957,-0.06244792830615925,-0.6984615384615385,0.004358232021331787,True,llava
appfr,H22,22,accuracy,5.922955795220926e-05,qwen,internvl,25,20.0,2.2113323211669922e-05,0.25100942126514136,0.8769230769230769,4.4226646423339844e-05,True,qwen
appfr,H22,22,accuracy,5.922955795220926e-05,qwen,llava,25,9.0,1.9669532775878906e-06,0.06089478044739027,0.9446153846153846,5.900859832763672e-06,True,qwen
appfr,H22,22,accuracy,5.922955795220926e-05,internvl,llava,25,45.0,0.0009118914604187012,-0.16350123864574734,-0.7230769230769231,0.0009118914604187012,True,llava
appfr,H22,22,macro_f1,0.02143403022255201,qwen,internvl,25,53.0,0.002255260944366455,0.07480647363152035,0.6738461538461539,0.00451052188873291,True,qwen
appfr,H22,22,macro_f1,0.02143403022255201,qwen,llava,25,155.0,0.8531995415687561,-0.004180604875542504,-0.046153846153846156,0.8531995415687561,False,No difference
appfr,H22,22,macro_f1,0.02143403022255201,internvl,llava,25,48.0,0.0012963414192199707,-0.0706578444216669,-0.7046153846153846,0.003889024257659912,True,llava
appfr,H24,24,accuracy,1.5403086132849725e-05,qwen,internvl,25,18.0,1.5079975128173828e-05,0.20861372812920587,0.8892307692307693,3.0159950256347656e-05,True,qwen
appfr,H24,24,accuracy,1.5403086132849725e-05,qwen,llava,25,8.0,1.4901161193847656e-06,0.060450160771704176,0.9507692307692308,4.470348358154297e-06,True,qwen
appfr,H24,24,accuracy,1.5403086132849725e-05,internvl,llava,25,42.0,0.0006313323974609375,-0.17341040462427748,-0.7415384615384616,0.0006313323974609375,True,llava
appfr,H24,24,macro_f1,0.02143403022255201,qwen,internvl,25,49.0,0.0014527440071105957,0.07286890549805222,0.6984615384615385,0.0029054880142211914,True,qwen
appfr,H24,24,macro_f1,0.02143403022255201,qwen,llava,25,157.0,0.8948604464530945,-0.003941523918707224,-0.033846153846153845,0.8948604464530945,False,No difference
appfr,H24,24,macro_f1,0.02143403022255201,internvl,llava,25,42.0,0.0006313323974609375,-0.06647051266072879,-0.7415384615384616,0.0018939971923828125,True,llava
appfr,H26,26,accuracy,2.5038564285631144e-05,qwen,internvl,25,15.0,8.165836334228516e-06,0.23864574731626753,0.9076923076923077,2.4497509002685547e-05,True,qwen
appfr,H26,26,accuracy,2.5038564285631144e-05,qwen,llava,25,19.0,1.8298625946044922e-05,0.05468102734051372,0.8830769230769231,3.6597251892089844e-05,True,qwen
appfr,H26,26,accuracy,2.5038564285631144e-05,internvl,llava,25,42.0,0.0006313323974609375,-0.1413189771197847,-0.7415384615384616,0.0006313323974609375,True,llava
appfr,H26,26,macro_f1,0.019498555228451037,qwen,internvl,25,56.0,0.0030878782272338867,0.07327632429003206,0.6553846153846153,0.0061757564544677734,True,qwen
appfr,H26,26,macro_f1,0.019498555228451037,qwen,llava,25,159.0,0.936802864074707,-0.004805660638605824,-0.021538461538461538,0.936802864074707,False,No difference
appfr,H26,26,macro_f1,0.019498555228451037,internvl,llava,25,44.0,0.0008081197738647461,-0.07674681067503494,-0.7292307692307692,0.0024243593215942383,True,llava
appfr,H28,28,accuracy,1.5403086132849725e-05,qwen,internvl,25,18.0,1.5079975128173828e-05,0.2114695340501792,0.8892307692307693,4.5239925384521484e-05,True,qwen
