model,approach,history,history_frames,case_study,frames,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy
internvl,appfr,H18,18,huron,16862,0.597082196655201,0.3725364588814981,0.4699554228189667,0.3271265614780147,0.4699554228189667
internvl,appfr,H18,18,pal,9249,0.2855443831765596,0.22512390646832645,0.24176014909542573,0.20105584592309775,0.24176014909542573
internvl,appfr,H20,20,crowdbot,8801,0.4951710032950801,0.4149022955795864,0.33397806843704586,0.2224764300021815,0.33397806843704586
internvl,appfr,H20,20,huron,16862,0.6306487961095956,0.3732318131109131,0.4699843750054444,0.339409061668265,0.4699843750054444
internvl,appfr,H20,20,pal,9249,0.3410098389015029,0.24757921119152923,0.25841632010942184,0.23662138087675522,0.25841632010942184
internvl,appfr,H22,22,crowdbot,8801,0.4948301329394387,0.36774247872646043,0.33375346809353945,0.222652356219556,0.33375346809353945
internvl,appfr,H22,22,huron,16862,0.599928834064761,0.3699612682169709,0.4615399503270441,0.32630456278497083,0.4615399503270441
internvl,appfr,H22,22,pal,9249,0.33517136987782464,0.2658969704167444,0.2838209045040465,0.2360621201332865,0.2838209045040465
internvl,appfr,H24,24,crowdbot,8801,0.4965344847176457,0.42983268361525057,0.33493724402166736,0.22497765092122882,0.33493724402166736
internvl,appfr,H24,24,huron,16862,0.6190843316332583,0.36553411158409727,0.44548192419018856,0.3293248990367949,0.44548192419018856
internvl,appfr,H24,24,pal,9249,0.29030165423289006,0.21968012065650977,0.22822566573874714,0.20374452456898026,0.22822566573874714
internvl,appfr,H26,26,crowdbot,8801,0.4915350528349051,0.23571673217751535,0.33151803408640507,0.22095658680276578,0.33151803408640507
internvl,appfr,H26,26,huron,16862,0.6227019333412407,0.48091144525932256,0.4617955625810643,0.337317601942036,0.4617955625810643
internvl,appfr,H26,26,pal,9249,0.31008757703535517,0.2317901240700048,0.23952028387958943,0.21679402673504974,0.23952028387958943
internvl,appfr,H28,28,crowdbot,8801,0.49528462674696055,0.4105347061573314,0.3340599815035011,0.22279036558087728,0.3340599815035011
internvl,appfr,H28,28,huron,16862,0.6510496975447753,0.3704073799634319,0.45878610324191316,0.34393373799744115,0.45878610324191316
internvl,appfr,H28,28,pal,9249,0.34328035463293327,0.23719488592662122,0.24523163366590003,0.2320855429883719,0.24523163366590003
internvl,appfr,H30,30,crowdbot,8801,0.493693898420634,0.21227676879257504,0.3329528339278636,0.2204869450084842,0.3329528339278636
internvl,appfr,H30,30,huron,16862,0.6502787332463528,0.36577790633064905,0.44309737586441206,0.3394580334540626,0.44309737586441206
internvl,appfr,H30,30,pal,9249,0.34890258406314195,0.2617056209650395,0.27290143340814893,0.2445247360657424,0.27290143340814893
internvl,appfr,H32,32,crowdbot,8801,0.49437563913191684,0.38699451895632847,0.3334152463997886,0.22083201751494055,0.3334152463997886
internvl,appfr,H32,32,huron,16862,0.667417862649745,0.3646038096132984,0.43708080108609343,0.3435774434019787,0.43708080108609343
internvl,appfr,H32,32,pal,9249,0.3572278084117202,0.25275583382024375,0.26190017432251556,0.24473702140478207,0.26190017432251556
internvl,appod,H02,2,crowdbot,8801,0.4974434723326895,0.3354574447315053,0.3367076231998943,0.2737205758856405,0.3367076231998943
internvl,appod,H02,2,huron,16862,0.6963586763136046,0.3749658591670153,0.46357654975526685,0.3615560910000995,0.46357654975526685
internvl,appod,H02,2,pal,9249,0.4974591847767326,0.27497529692286377,0.31140326592598033,0.2895237380257151,0.31140326592598033
internvl,appod,H04,4,crowdbot,8801,0.4758550164754005,0.26085376525905163,0.32123133835381157,0.22992488221883714,0.32123133835381157
internvl,appod,H04,4,huron,16862,0.7259518443838217,0.3770779470250342,0.4614830120828497,0.3717019008319189,0.4614830120828497
internvl,appod,H04,4,pal,9249,0.44458860417342416,0.27345203739318374,0.3028537921768272,0.2864990748422049,0.3028537921768272
internvl,appod,H06,6,crowdbot,8801,0.4752868992159982,0.21425360562847387,0.3206447351037125,0.22036121961453917,0.3206447351037125
internvl,appod,H06,6,huron,16862,0.598031075791721,0.3657064425269097,0.4467569765820842,0.3223690740964342,0.4467569765820842
internvl,appod,H06,6,pal,9249,0.3556060114606985,0.26651350629010084,0.2955979168910982,0.2502444831517097,0.2955979168910982
internvl,appod,H08,8,crowdbot,8801,0.4760822633791615,0.23410127223317698,0.3212419077817413,0.2235244872138499,0.3212419077817413
internvl,appod,H08,8,huron,16862,0.5904400426995612,0.3818402011866766,0.4437607578082869,0.3215790830426056,0.4437607578082869
internvl,appod,H08,8,pal,9249,0.3626337982484593,0.2734273438218614,0.29916462807538874,0.2553611223321537,0.29916462807538874
internvl,appod,H10,10,crowdbot,8801,0.5049426201568004,0.34543517466202256,0.34220372572334523,0.29047280697188643,0.34220372572334523
internvl,appod,H10,10,huron,16862,0.6078756968331159,0.36563855440733056,0.4470788558412668,0.3258570209663704,0.4470788558412668
internvl,appod,H10,10,pal,9249,0.40836847226727213,0.27385460635061865,0.299888939370993,0.27766316176801326,0.299888939370993
internvl,appod,H12,12,crowdbot,8801,0.508237700261334,0.34786827413294374,0.34467961421588056,0.29885383959583406,0.34467961421588056
internvl,appod,H12,12,huron,16862,0.6106037243506108,0.3668817341789404,0.4516039495470456,0.327920351081114,0.4516039495470456
internvl,appod,H12,12,pal,9249,0.3921505027570548,0.2638822162396098,0.28477050909653046,0.2656430917525666,0.28477050909653046
internvl,appod,H14,14,crowdbot,8801,0.48358141120327236,0.2857564257054414,0.3264103580393711,0.23131818507060345,0.3264103580393711
internvl,appod,H14,14,huron,16862,0.768414185743091,0.37886499275908553,0.44916064158678753,0.3834674429390048,0.44916064158678753
internvl,appod,H14,14,pal,9249,0.4418856092550546,0.2597957829310274,0.28784987381437416,0.2731036243401494,0.28784987381437416
internvl,appod,H16,16,crowdbot,8801,0.4809680718100216,0.26644282648786877,0.32455542343770644,0.22610192519028424,0.32455542343770644
internvl,appod,H16,16,huron,16862,0.7469457952793263,0.3972236300897171,0.44875987229584385,0.3776416560041263,0.44875987229584385
internvl,appod,H16,16,pal,9249,0.4244783219807547,0.2588181656980626,0.2829218910953975,0.26985519699479427,0.2829218910953975
