model,approach,history,history_frames,class_label,support,precision,recall,f1,class_accuracy
llava,appfr,H02,2,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H04,4,safe,24996,0.7695935414252029,0.7703632581212994,0.7699782074094808,0.6704571494042163
llava,appfr,H04,4,potentially_unsafe,8497,0.35557577595794154,0.4139107920442509,0.3825320861431368,0.6747823098075161
llava,appfr,H04,4,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H06,6,safe,24996,0.7532158524797383,0.8105296847495599,0.7808224457548079,0.6742094408799266
llava,appfr,H06,6,potentially_unsafe,8497,0.3436486149238832,0.32411439331528774,0.3335957846284295,0.6848361594867094
llava,appfr,H06,6,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H08,8,safe,24996,0.7414111300397501,0.8357337173947832,0.7857518994959753,0.6736938588450962
llava,appfr,H08,8,potentially_unsafe,8497,0.32007125890736343,0.25373661292220784,0.2830696514146918,0.6871849220898258
llava,appfr,H08,8,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H10,10,safe,24996,0.7436928045935761,0.8290526484237478,0.7840562985944268,0.6730350595783685
llava,appfr,H10,10,potentially_unsafe,8497,0.32127146303391513,0.26644698128751326,0.29130211013896035,0.6844637946837764
llava,appfr,H10,10,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H12,12,safe,24996,0.7485380116959064,0.7937269963194111,0.7704704763014311,0.6614058203483043
llava,appfr,H12,12,potentially_unsafe,8497,0.32865469251813967,0.3251735906790632,0.32690487458589684,0.6740948670944088
llava,appfr,H12,12,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H14,14,safe,24996,0.7479882680303828,0.7958073291726676,0.7711572010079473,0.6618354720439963
llava,appfr,H14,14,potentially_unsafe,8497,0.33241163741283963,0.3254089678710133,0.3288730300327089,0.6767587076076994
llava,appfr,H14,14,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H16,16,safe,24996,0.7372631279553454,0.8296127380380861,0.7807164505016658,0.6663324931255729
llava,appfr,H16,16,potentially_unsafe,8497,0.3386882829771555,0.27044839355066497,0.30074597565763644,0.6939161319890009
llava,appfr,H16,16,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H18,18,safe,24996,0.7389747589336358,0.8339334293486957,0.7835877001729193,0.6701993583868011
llava,appfr,H18,18,potentially_unsafe,8497,0.34173627684964203,0.2696245733788396,0.3014275376619959,0.6958352428964253
llava,appfr,H18,18,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H20,20,safe,24996,0.7408885054992452,0.8246519443110898,0.7805293649892082,0.6679651695692026
llava,appfr,H20,20,potentially_unsafe,8497,0.34400564174894216,0.287042485583147,0.3129531019439276,0.6932573327222732
llava,appfr,H20,20,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H22,22,safe,24996,0.7366052445074416,0.8316130580892943,0.7812312086590499,0.6665329972502292
llava,appfr,H22,22,potentially_unsafe,8497,0.3342797369994023,0.26326938919618686,0.29455527026137335,0.6930854720439963
llava,appfr,H22,22,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H24,24,safe,24996,0.7352603169075396,0.8446551448231717,0.7861704306380444,0.6710300183318056
llava,appfr,H24,24,potentially_unsafe,8497,0.32612554461836374,0.2378486524655761,0.2750782632366953,0.6948900091659028
llava,appfr,H24,24,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H26,26,safe,24996,0.7335748792270531,0.8504960793726997,0.7877204683563065,0.6718033913840513
llava,appfr,H26,26,potentially_unsafe,8497,0.3167565745111261,0.22113687183711897,0.260447709473976,0.6943457836846929
llava,appfr,H26,26,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H28,28,safe,24996,0.7348490059847286,0.854736757881261,0.7902718697984095,0.6751833180568286
llava,appfr,H28,28,potentially_unsafe,8497,0.31963001027749227,0.21960692008944332,0.26034182071852113,0.6962935380384968
llava,appfr,H28,28,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H30,30,safe,24996,0.7337740178785491,0.8570971355416866,0.7906556197294854,0.6750401008249313
