metric,model,approach,history_1,history_2,n_pairs,nonzero_pairs,friedman_holm_p,median_difference_h1_minus_h2,mean_difference_h1_minus_h2,wilcoxon_statistic,raw_p,holm_p,rank_biserial_h1_minus_h2,significant_holm,significant_better_history
accuracy,internvl,appfr,H04,H24,25,22,3.4594714195472126e-17,0.1561643835616438,0.15841835996633669,16.0,0.0003339221696229232,0.02821949549797289,0.8735177865612648,True,H04
accuracy,internvl,appfr,H04,H26,25,22,3.4594714195472126e-17,0.1578947368421052,0.16230191304324998,14.0,0.0002598153012516883,0.02416282301640701,0.8893280632411067,True,H04
accuracy,internvl,appfr,H04,H28,25,22,3.4594714195472126e-17,0.1296803652968036,0.1394120948345311,17.0,0.00037799533287222436,0.0294836359640335,0.8656126482213439,True,H04
accuracy,internvl,appfr,H04,H30,25,22,3.4594714195472126e-17,0.14468371467025576,0.1387425182774891,17.0,0.00037799533287222436,0.0294836359640335,0.8656126482213439,True,H04
accuracy,internvl,appfr,H04,H32,25,22,3.4594714195472126e-17,0.13022700119474317,0.12619625409251717,18.0,0.0004274598674209223,0.030349650586885484,0.857707509881423,True,H04
accuracy,internvl,appfr,H06,H12,25,23,3.4594714195472126e-17,0.03423304805793287,0.03428961961499539,14.0,0.00016229894900734112,0.0173659875437855,0.8985507246376812,True,H06
accuracy,internvl,appfr,H06,H14,25,24,3.4594714195472126e-17,-0.0831050228310502,-0.10693994021883262,27.0,0.0004409382679493639,0.030865678756455475,-0.82,True,H14
accuracy,internvl,appfr,H06,H16,25,25,3.4594714195472126e-17,-0.07497928748964378,-0.10305292784937818,29.0,0.000102996826171875,0.01132965087890625,-0.8215384615384616,True,H16
accuracy,internvl,appfr,H06,H18,25,23,3.4594714195472126e-17,0.032894736842105254,0.05290525334393949,21.0,0.00037290847799537573,0.029459769761634683,0.8478260869565217,True,H06
accuracy,internvl,appfr,H06,H26,25,23,3.4594714195472126e-17,0.024657534246575352,0.041692443169302304,17.0,0.00023304255763850054,0.022122023300226525,0.8768115942028986,True,H06
accuracy,internvl,appfr,H08,H12,25,23,3.4594714195472126e-17,0.04111405835543769,0.03495338193484872,22.0,0.000418499334469344,0.030131952081792767,0.8405797101449275,True,H08
accuracy,internvl,appfr,H08,H14,25,24,3.4594714195472126e-17,-0.06959403479701742,-0.1062761778989793,19.0,0.00018193967516985757,0.01873978654249533,-0.8733333333333333,True,H14
accuracy,internvl,appfr,H08,H16,25,25,3.4594714195472126e-17,-0.0684931506849315,-0.10238916552952487,21.0,2.664327621459961e-05,0.003197193145751953,-0.8707692307692307,True,H16
accuracy,internvl,appfr,H08,H18,25,23,3.4594714195472126e-17,0.035616438356164404,0.05356901566379282,23.0,0.00046925417321687623,0.03237853795196446,0.8333333333333334,True,H08
accuracy,internvl,appfr,H10,H14,25,24,3.4594714195472126e-17,-0.16666666666666663,-0.16183241260059664,25.0,0.00035503938074694154,0.028758189840502265,-0.8333333333333334,True,H14
accuracy,internvl,appfr,H10,H16,25,25,3.4594714195472126e-17,-0.16666666666666663,-0.1579454002311422,30.0,0.00012022256851196289,0.013104259967803955,-0.8153846153846154,True,H16
accuracy,internvl,appfr,H12,H14,25,24,3.4594714195472126e-17,-0.119634703196347,-0.14122955983382804,23.0,0.0002849939018541178,0.02593444506872472,-0.8466666666666667,True,H14
accuracy,internvl,appfr,H12,H16,25,25,3.4594714195472126e-17,-0.11403508771929827,-0.13734254746437358,26.0,6.365776062011719e-05,0.007384300231933594,-0.84,True,H16
accuracy,internvl,appfr,H14,H18,25,24,3.4594714195472126e-17,0.13515981735159815,0.15984519356277216,21.0,0.00022806209587862398,0.022122023300226525,0.86,True,H14
accuracy,internvl,appfr,H14,H20,25,24,3.4594714195472126e-17,0.12247644683714676,0.13118758459707908,24.0,0.00031821718031506727,0.027684894687410852,0.84,True,H14
accuracy,internvl,appfr,H14,H22,25,24,3.4594714195472126e-17,0.136986301369863,0.14983921862286675,26.0,0.0003958170582658894,0.0294836359640335,0.8266666666666667,True,H14
accuracy,internvl,appfr,H14,H24,25,24,3.4594714195472126e-17,0.12303231151615568,0.14474883031122165,21.0,0.00022806209587862398,0.022122023300226525,0.86,True,H14
accuracy,internvl,appfr,H14,H26,25,24,3.4594714195472126e-17,0.12113055181695831,0.14863238338813495,21.0,0.00022806209587862398,0.022122023300226525,0.86,True,H14
accuracy,internvl,appfr,H14,H28,25,24,3.4594714195472126e-17,0.10233918128654973,0.12574256517941607,23.0,0.0002849939018541178,0.02593444506872472,0.8466666666666667,True,H14
accuracy,internvl,appfr,H14,H30,25,24,3.4594714195472126e-17,0.1150684931506849,0.12507298862237407,25.0,0.00035503938074694154,0.028758189840502265,0.8333333333333334,True,H14
accuracy,internvl,appfr,H14,H32,25,24,3.4594714195472126e-17,0.10497981157469716,0.11252672443740218,24.0,0.00031821718031506727,0.027684894687410852,0.84,True,H14
accuracy,internvl,appfr,H16,H18,25,25,3.4594714195472126e-17,0.12178956089478044,0.1559581811933177,27.0,7.49826431274414e-05,0.008473038673400879,0.8338461538461538,True,H16
accuracy,internvl,appfr,H16,H20,25,25,3.4594714195472126e-17,0.10936205468102733,0.12730057222762467,25.0,5.3882598876953125e-05,0.006358146667480469,0.8461538461538461,True,H16
accuracy,internvl,appfr,H16,H22,25,25,3.4594714195472126e-17,0.11051373954599752,0.14595220625341235,27.0,7.49826431274414e-05,0.008473038673400879,0.8338461538461538,True,H16
accuracy,internvl,appfr,H16,H24,25,25,3.4594714195472126e-17,0.10434496379196839,0.14086181794176722,24.0,4.5418739318847656e-05,0.005404829978942871,0.8523076923076923,True,H16
accuracy,internvl,appfr,H16,H26,25,25,3.4594714195472126e-17,0.1238223418573351,0.14474537101868049,26.0,6.365776062011719e-05,0.007384300231933594,0.84,True,H16
accuracy,internvl,appfr,H16,H28,25,25,3.4594714195472126e-17,0.10026917900403765,0.12185555280996162,26.0,6.365776062011719e-05,0.007384300231933594,0.84,True,H16
accuracy,internvl,appfr,H16,H30,25,25,3.4594714195472126e-17,0.09941520467836251,0.12118597625291963,27.0,7.49826431274414e-05,0.008473038673400879,0.8338461538461538,True,H16
accuracy,internvl,appfr,H16,H32,25,25,3.4594714195472126e-17,0.09771689497716896,0.10863971206794774,25.0,5.3882598876953125e-05,0.006358146667480469,0.8461538461538461,True,H16
accuracy,internvl,appfr,H26,H28,25,19,3.4594714195472126e-17,-0.022053982883475987,-0.022889818208718857,11.0,0.0007239534999888531,0.04922883799924201,-0.8842105263157894,True,H28
accuracy,internvl,appod,H02,H06,25,25,5.335302238150561e-10,0.07602339181286555,0.0842007421774194,21.0,2.664327621459961e-05,0.002930760383605957,0.8707692307692307,True,H02
accuracy,internvl,appod,H02,H08,25,24,5.335302238150561e-10,0.07945205479452055,0.09222900821548681,16.0,0.0001288892255353885,0.013275590230145014,0.8933333333333333,True,H02
accuracy,internvl,appod,H02,H18,25,25,5.335302238150561e-10,0.03823178016726414,0.05487395776940991,29.0,0.000102996826171875,0.01071309210706425,0.8215384615384616,True,H02
accuracy,internvl,appod,H02,H20,25,25,5.335302238150561e-10,0.037012113055181595,0.056245595712528955,33.0,0.00018787384033203125,0.018411636352539062,0.796923076923077,True,H02
accuracy,internvl,appod,H04,H06,25,25,5.335302238150561e-10,0.07945041816009568,0.08433937141392389,24.0,4.5418739318847656e-05,0.0049506425857543945,0.8523076923076923,True,H04
accuracy,internvl,appod,H04,H08,25,25,5.335302238150561e-10,0.08602150537634412,0.09236763745199131,31.0,0.0001398921012878418,0.014268994331359863,0.8092307692307692,True,H04
accuracy,internvl,appod,H04,H14,25,24,5.335302238150561e-10,-0.02298850574712652,-0.032039927421183834,17.0,0.00014469608785023995,0.014469608785023996,-0.8866666666666667,True,H14
accuracy,internvl,appod,H06,H14,25,25,5.335302238150561e-10,-0.10928242264647792,-0.11637929883510773,10.0,2.562999725341797e-06,0.00030243396759033203,-0.9384615384615385,True,H14
accuracy,internvl,appod,H06,H16,25,23,5.335302238150561e-10,-0.09052007899934167,-0.0970390962632715,10.0,9.896561114846671e-05,0.010490354781737472,-0.927536231884058,True,H16
accuracy,internvl,appod,H06,H22,25,25,5.335302238150561e-10,-0.050709939148073035,-0.050086911501906826,18.0,1.5079975128173828e-05,0.0017191171646118164,-0.8892307692307693,True,H22
accuracy,internvl,appod,H06,H24,25,24,5.335302238150561e-10,-0.04539007092198577,-0.04430204516250868,14.0,0.00010202944863870715,0.01071309210706425,-0.9066666666666666,True,H24
accuracy,internvl,appod,H08,H10,25,25,5.335302238150561e-10,-0.026013309134906293,-0.027580872513333174,14.0,6.556510925292969e-06,0.0007605552673339844,-0.9138461538461539,True,H10
accuracy,internvl,appod,H08,H12,25,25,5.335302238150561e-10,-0.019893899204244003,-0.025876129496296717,31.0,0.0001398921012878418,0.014268994331359863,-0.8092307692307692,True,H12
accuracy,internvl,appod,H08,H14,25,24,5.335302238150561e-10,-0.1347305389221557,-0.12440756487317514,11.0,7.144292229000313e-05,0.007715835607320338,-0.9266666666666666,True,H14
accuracy,internvl,appod,H08,H16,25,24,5.335302238150561e-10,-0.08982035928143717,-0.10506736230133891,18.0,0.00016231562257156015,0.016069246634584453,-0.88,True,H16
accuracy,internvl,appod,H08,H18,25,25,5.335302238150561e-10,-0.03405017921146947,-0.0373550504460769,18.0,1.5079975128173828e-05,0.0017191171646118164,-0.8892307692307693,True,H18
accuracy,internvl,appod,H08,H20,25,25,5.335302238150561e-10,-0.026950354609929117,-0.03598341250295785,17.0,1.233816146850586e-05,0.0014188885688781738,-0.8953846153846153,True,H20
accuracy,internvl,appod,H08,H22,25,25,5.335302238150561e-10,-0.05565638233514825,-0.058115177539974236,6.0,8.344650268554688e-07,9.930133819580078e-05,-0.963076923076923,True,H22
accuracy,internvl,appod,H08,H24,25,25,5.335302238150561e-10,-0.05620155038759689,-0.05233031120057607,10.0,2.562999725341797e-06,0.00030243396759033203,-0.9384615384615385,True,H24
accuracy,internvl,appod,H14,H16,25,25,5.335302238150561e-10,0.01754385964912286,0.01934020257183625,18.0,1.5079975128173828e-05,0.0017191171646118164,0.8892307692307693,True,H14
accuracy,internvl,appod,H14,H18,25,25,5.335302238150561e-10,0.08584474885844745,0.08705251442709824,39.0,0.000429689884185791,0.040820538997650146,0.76,True,H14
accuracy,internvl,appod,H18,H22,25,25,5.335302238150561e-10,-0.022589531680440755,-0.020760127093897338,35.0,0.0002498030662536621,0.024230897426605225,-0.7846153846153846,True,H22
accuracy,internvl,appod,H20,H22,25,25,5.335302238150561e-10,-0.01807802093244526,-0.022131765037016384,27.0,7.49826431274414e-05,0.00802314281463623,-0.8338461538461538,True,H22
accuracy,internvl,appod,H26,H30,25,25,5.335302238150561e-10,-0.04898446833930703,-0.04074169609055913,4.0,4.172325134277344e-07,5.0067901611328125e-05,-0.9753846153846154,True,H30
accuracy,internvl,appod,H28,H30,25,24,5.335302238150561e-10,-0.04790419161676651,-0.04910750699433801,0.0,1.821529714896801e-05,0.002021897983535449,-1.0,True,H30
accuracy,internvl,appod,H30,H32,25,24,5.335302238150561e-10,0.008510638297872353,0.01596524172696818,23.0,0.0002849939018541178,0.02735941457799531,0.8466666666666667,True,H30
accuracy,llava,appfr,H12,H18,25,25,4.200758974439625e-08,-0.019818331957060287,-0.022310348392009464,36.0,0.00028705596923828125,0.03415966033935547,-0.7784615384615384,True,H18
accuracy,llava,appfr,H12,H20,25,25,4.200758974439625e-08,-0.012006861063464824,-0.020314839093091973,38.0,0.0003764033317565918,0.04403918981552124,-0.7661538461538462,True,H20
accuracy,llava,appfr,H14,H18,25,24,4.200758974439625e-08,-0.01754385964912286,-0.020225721017086144,25.0,0.0003547923888745886,0.04186550188720146,-0.8333333333333334,True,H18
accuracy,llava,appfr,H14,H20,25,25,4.200758974439625e-08,-0.014198782961460488,-0.01823021171816865,28.0,8.803606033325195e-05,0.010564327239990234,-0.8276923076923077,True,H20
accuracy,llava,appod,H14,H16,25,25,3.2352715926414504e-05,-0.012596899224806224,-0.013456441616355128,30.0,0.00012022256851196289,0.014426708221435547,-0.8153846153846154,True,H16
