metric,model,approach,history,history_frames,bags,median_bag_value,mean_bag_value,q1_bag_value,q3_bag_value,iqr_bag_value,minimum_bag_value,maximum_bag_value,average_rank,pooled_frame_value,huron_median_bag_value,pal_median_bag_value,crowdbot_median_bag_value
accuracy,internvl,appfr,H04,4,25,0.7814407814407814,0.6924880178671592,0.47333772218564846,0.8876941457586619,0.41435642357301344,0.31724137931034485,0.9716410971641097,4.44,0.657166590284143,0.8653686826843413,0.47333772218564846,0.42441860465116277
accuracy,internvl,appfr,H06,6,25,0.574468085106383,0.5718785479932115,0.4170124481327801,0.7335329341317365,0.3165204859989564,0.27880184331797236,0.9303201506591338,7.04,0.5428792392300642,0.7150635208711433,0.33620689655172414,0.4797427652733119
accuracy,internvl,appfr,H08,8,25,0.5588652482269504,0.5725423103130648,0.4044077134986226,0.7544910179640718,0.3500833044654492,0.2893350888742594,0.9227871939736346,7.22,0.5457722273143905,0.6890502117362372,0.31157635467980294,0.4758842443729904
accuracy,internvl,appfr,H10,10,25,0.4921985815602837,0.5169860756114475,0.3859416445623342,0.6541218637992832,0.26818021923694896,0.2074688796680498,0.9265536723163842,11.74,0.5014894592117324,0.5856019358741682,0.3217108321710832,0.4739549839228296
accuracy,internvl,appfr,H12,12,25,0.5042735042735043,0.537588928378216,0.4174802417480242,0.705373687461396,0.2878934457133718,0.21991701244813278,0.9246704331450094,10.42,0.5104262144821264,0.6418632788868723,0.3184729064039409,0.4739549839228296
accuracy,internvl,appfr,H14,14,25,0.7241379310344828,0.6788184882120442,0.44476744186046513,0.8655913978494624,0.42082395598899724,0.3024630541871921,0.96045197740113,5.26,0.635884509624198,0.8652694610778443,0.3499012508229098,0.44476744186046513
accuracy,internvl,appfr,H16,16,25,0.7068965517241379,0.6749314758425896,0.47138263665594854,0.8699254349627175,0.3985427983067689,0.291871921182266,0.9554317548746518,5.66,0.6349392758936755,0.8502994011976048,0.35055957867017773,0.47138263665594854
accuracy,internvl,appfr,H18,18,25,0.4922813036020583,0.518973294649272,0.37654830718414534,0.6407185628742516,0.2641702556901062,0.23384472338447235,0.9209039548022598,11.7,0.48862855178735104,0.574107683000605,0.2662936142198815,0.4739549839228296
accuracy,internvl,appfr,H20,20,25,0.5062761506276151,0.5476309036149649,0.42534435261707987,0.705373687461396,0.2800293348443161,0.24688796680497926,0.9133709981167608,9.52,0.5197639780018332,0.616454930429522,0.3078817733990148,0.4739549839228296
accuracy,internvl,appfr,H22,22,25,0.4922813036020583,0.5289792695891773,0.3831544178364988,0.6616766467065869,0.2785222288700881,0.24273858921161826,0.9152542372881356,11.2,0.5032939963336389,0.5836385836385837,0.3505346350534635,0.4739549839228296
accuracy,internvl,appfr,H24,24,25,0.5049645390070922,0.5340696579008225,0.38810900082576383,0.6894150417827298,0.301306040956966,0.24481327800829875,0.9058380414312618,10.52,0.5010884509624198,0.6202686202686203,0.30147783251231525,0.4739549839228296
accuracy,internvl,appfr,H26,26,25,0.4922813036020583,0.5301861048239092,0.37654830718414534,0.6589008363201911,0.2823525291360458,0.2821576763485477,0.935969868173258,10.9,0.5068171402383135,0.631578947368421,0.30357973035797303,0.4739549839228296
accuracy,internvl,appfr,H28,28,25,0.5120567375886524,0.553075923032628,0.40583554376657827,0.6875746714456392,0.28173912767906095,0.2925311203319502,0.928436911487759,8.56,0.5302474793767186,0.662431941923775,0.3206056616194865,0.4739549839228296
accuracy,internvl,appfr,H30,30,25,0.5205673758865248,0.55374549958967,0.4230769230769231,0.705373687461396,0.2822967643844729,0.28867676102699147,0.903954802259887,9.06,0.5309635655362053,0.6606170598911071,0.3472906403940887,0.4739549839228296
accuracy,internvl,appfr,H32,32,25,0.5804263565891473,0.5662917637746419,0.42534435261707987,0.705373687461396,0.2800293348443161,0.2847267939433838,0.911487758945386,8.12,0.5416189275893676,0.6842105263157895,0.3233990147783251,0.4739549839228296
accuracy,internvl,appod,H02,2,25,0.6289248334919124,0.6246476460225083,0.5020746887966805,0.7622461170848268,0.2601714282881463,0.30689655172413793,0.943502824858757,6.5,0.5935208524289642,0.6971916971916972,0.5286372613561554,0.48713550600343053
accuracy,internvl,appod,H04,4,25,0.696420269642027,0.6247862752590128,0.4617363344051447,0.7545787545787546,0.29284242017360984,0.29729064039408865,0.9378531073446328,7.16,0.5883650320806599,0.7483363581367211,0.4631336405529954,0.4312015503875969
accuracy,internvl,appod,H06,6,25,0.5119363395225465,0.540446903845089,0.3991228070175439,0.6202686202686203,0.2211458132510764,0.3204433497536946,0.9416195856873822,12.16,0.5028643446379468,0.574107683000605,0.3568136932192232,0.44573643410852715
accuracy,internvl,appod,H08,8,25,0.4922813036020583,0.5324186378070215,0.39985380116959063,0.6072423398328691,0.2073885386632785,0.31354679802955665,0.943502824858757,13.1,0.5012603116406966,0.5915492957746479,0.398884239888424,0.42534435261707987
accuracy,internvl,appod,H10,10,25,0.5411436541143654,0.5599995103203547,0.44140882159315337,0.6323119777158774,0.19090315612272407,0.3133004926108374,0.9585687382297552,8.88,0.5290730980751605,0.608058608058608,0.44140882159315337,0.47771317829457366
accuracy,internvl,appod,H12,12,25,0.5361702127659574,0.5582947673033182,0.43494152046783624,0.6522748375116063,0.21733331704377007,0.28891625615763544,0.9585687382297552,9.54,0.5269248395967002,0.6019536019536019,0.41441737985516786,0.4748062015503876
accuracy,internvl,appod,H14,14,25,0.7336122733612274,0.6568262026801966,0.4660961158657011,0.8144078144078144,0.3483116985421133,0.2692118226600985,0.9529190207156308,5.24,0.6101054078826764,0.7877984084880637,0.4660961158657011,0.4630225080385852
accuracy,internvl,appod,H16,16,25,0.704323570432357,0.6374860001083603,0.45930232558139533,0.7655677655677655,0.3062654399863702,0.25911330049261083,0.9510357815442562,6.64,0.5944660861594867,0.7618061309030655,0.44733377221856485,0.45930232558139533
accuracy,internvl,appod,H18,18,25,0.5588652482269504,0.5697736882530983,0.4384805945499587,0.6495726495726496,0.2110920550226909,0.28054187192118224,0.9548022598870056,9.2,0.5324816681943172,0.6329743164871583,0.43449637919684003,0.4680232558139535
accuracy,internvl,appod,H20,20,25,0.5471873547187355,0.5684020503099794,0.4292297564186965,0.6773444753946146,0.24811471897591814,0.2751231527093596,0.9472693032015066,9.46,0.535288725939505,0.6398046398046398,0.4292297564186965,0.47674418604651164
accuracy,internvl,appod,H22,22,25,0.5617021276595745,0.5905338153469958,0.4738372093023256,0.7042711234911792,0.23043391418885356,0.2881773399014778,0.9510357815442562,6.56,0.5528758020164987,0.6731565865782932,0.43548387096774194,0.47894302229562347
accuracy,internvl,appod,H24,24,25,0.5843971631205673,0.5847489490075976,0.4633608815426997,0.7005571030640668,0.2371962215213671,0.29064039408866993,0.9416195856873822,7.58,0.5470611824014665,0.6628003314001657,0.41441737985516786,0.47189922480620156
accuracy,internvl,appod,H26,26,25,0.5234726688102894,0.5460727133401566,0.4573002754820937,0.5692951015531661,0.11199482607107242,0.347953216374269,0.96045197740113,9.14,0.5267529789184234,0.538534728829686,0.5681369321922317,0.49612403100775193
accuracy,internvl,appod,H28,28,25,0.5163987138263666,0.5377069024363778,0.45013774104683196,0.5780118499012509,0.1278741088544189,0.347953216374269,0.9585687382297552,10.26,0.5205373510540788,0.5222841225626741,0.5780118499012509,0.4874031007751938
accuracy,internvl,appod,H30,30,25,0.5863509749303621,0.5868144094307158,0.504142502071251,0.6312576312576312,0.12711512918638024,0.375,0.9642184557438794,6.1,0.5687156278643446,0.5956232159847764,0.5892034233048058,0.5048449612403101
accuracy,internvl,appod,H32,32,25,0.5617021276595745,0.5708491677037475,0.491701244813278,0.6166056166056166,0.12490437179233865,0.37280701754385964,0.96045197740113,8.48,0.5544798350137489,0.5946717411988582,0.5947992100065833,0.4974271012006861
accuracy,llava,appfr,H02,2,25,0.5892526250772081,0.619875238922565,0.47811725846407926,0.7773549000951475,0.29923764163106825,0.24688796680497926,0.9548022598870056,12.52,0.6113084326306141,0.7432624113475177,0.5467224546722455,0.48713550600343053
accuracy,llava,appfr,H04,4,25,0.7326007326007326,0.6720620760872313,0.5223123732251521,0.8201712654614652,0.2978588922363131,0.3689655172413793,0.9585687382297552,8.52,0.6522972043996333,0.7843971631205674,0.6754443712969058,0.48546511627906974
accuracy,llava,appfr,H06,6,25,0.7634730538922155,0.6814287501406651,0.5499587118084228,0.8487598306110102,0.2988011188025874,0.3248919085855466,0.9585687382297552,8.44,0.6592002749770852,0.798581560283688,0.6563528637261357,0.4826446280991736
accuracy,llava,appfr,H08,8,25,0.7771804062126643,0.6852982707982826,0.573905862923204,0.847953216374269,0.274047353451065,0.28721432983323036,0.9585687382297552,8.46,0.6601168652612283,0.8095238095238095,0.6481237656352864,0.509090909090909
accuracy,llava,appfr,H10,10,25,0.7599469496021221,0.6835802803781911,0.5664739884393064,0.8433151845130067,0.2768411960737003,0.30203829524397774,0.9529190207156308,9.12,0.6584269019248395,0.8116079923882017,0.6504279131007241,0.5162534435261708
accuracy,llava,appfr,H12,12,25,0.7320954907161804,0.6693410484921312,0.5317919075144508,0.8216374269005848,0.289845519386134,0.3502463054187192,0.9453860640301318,11.84,0.6474278185151238,0.7916270218839201,0.6491112574061882,0.4765840220385675
accuracy,llava,appfr,H14,14,25,0.726790450928382,0.6714256758670545,0.5227085053674649,0.8198581560283688,0.2971496506609038,0.34753694581280786,0.9397363465160076,11.5,0.648974564619615,0.8058991436726927,0.6494404213298223,0.48044077134986224
