metric,direction,approach,history,history_frames,n_complete_bags,test_performed,qwen_median_original,internvl_median_original,llava_median_original,qwen_median_oriented,internvl_median_oriented,llava_median_oriented,best_median_model,friedman_chi2,degrees_of_freedom,raw_p,kendalls_w,holm_p,significant_holm
msp,higher positive correctness correlation is better,appod,H18,18,23,True,0.28242531659986486,-0.15084363948028512,0.09297798685653579,0.28242531659986486,-0.15084363948028512,0.09297798685653579,qwen,29.82608695652175,2,3.336933170330635e-07,0.6483931947069945,5.005399755495953e-06,True
msp,higher positive correctness correlation is better,appod,H20,20,23,True,0.2767003883909276,-0.15671763594070717,0.08762492647941336,0.2767003883909276,-0.15671763594070717,0.08762492647941336,qwen,29.82608695652175,2,3.336933170330635e-07,0.6483931947069945,5.005399755495953e-06,True
msp,higher positive correctness correlation is better,appod,H22,22,23,True,0.30340435347203454,-0.14770811492799063,0.10252677230073162,0.30340435347203454,-0.14770811492799063,0.10252677230073162,qwen,25.391304347826065,2,3.064420201788686e-06,0.5519848771266536,3.3708622219675547e-05,True
msp,higher positive correctness correlation is better,appod,H24,24,23,True,0.2731664204597472,-0.1477431827209842,0.10251424008350794,0.2731664204597472,-0.1477431827209842,0.10251424008350794,qwen,23.739130434782624,2,7.000246344958146e-06,0.5160680529300571,7.000246344958146e-05,True
msp,higher positive correctness correlation is better,appod,H26,26,24,True,0.24135697764909592,0.07852844350360155,0.13317731957256085,0.24135697764909592,0.07852844350360155,0.13317731957256085,qwen,4.083333333333314,2,0.1298121768554392,0.08506944444444405,0.2596243537108784,False
msp,higher positive correctness correlation is better,appod,H28,28,23,True,0.24073458885672172,0.12717735526727852,0.1396438064237902,0.24073458885672172,0.12717735526727852,0.1396438064237902,qwen,2.173913043478251,2,0.33724132002352547,0.047258979206048934,0.33724132002352547,False
msp,higher positive correctness correlation is better,appod,H30,30,23,True,0.19877422293658997,0.07882064284855014,0.14055887435121492,0.19877422293658997,0.07882064284855014,0.14055887435121492,qwen,6.521739130434753,2,0.0383550313112513,0.1417769376181468,0.1150650939337539,False
msp,higher positive correctness correlation is better,appod,H32,32,23,True,0.22918232688551968,0.03176728724906424,0.14676572044131403,0.22918232688551968,0.03176728724906424,0.14676572044131403,qwen,9.652173913043498,2,0.008017834095185342,0.20982986767485864,0.03207133638074137,True
pcs,higher positive correctness correlation is better,appfr,H02,2,23,True,0.28498754840157847,-0.03952189267201657,0.02354447536540638,0.28498754840157847,-0.03952189267201657,0.02354447536540638,qwen,19.82608695652175,2,4.9524479352294575e-05,0.43100189035916847,0.00044572031417065117,True
pcs,higher positive correctness correlation is better,appfr,H04,4,22,True,0.3009458930575575,-0.05041851354484496,0.1563767219551404,0.3009458930575575,-0.05041851354484496,0.1563767219551404,qwen,24.818181818181813,2,4.0813166670725465e-06,0.5640495867768593,5.713843333901565e-05,True
pcs,higher positive correctness correlation is better,appfr,H06,6,20,True,0.27757438437920423,-0.08386599855007154,0.15297613114449715,0.27757438437920423,-0.08386599855007154,0.15297613114449715,qwen,24.69999999999999,2,4.329753266093003e-06,0.6174999999999997,5.713843333901565e-05,True
pcs,higher positive correctness correlation is better,appfr,H08,8,21,True,0.24319504563157743,-0.06666294096612396,0.15522772664746803,0.24319504563157743,-0.06666294096612396,0.15522772664746803,qwen,19.809523809523796,2,4.9936322970810934e-05,0.4716553287981856,0.00044572031417065117,True
pcs,higher positive correctness correlation is better,appfr,H10,10,11,True,0.24331554375403205,-0.0650504160472128,0.15918984184101131,0.24331554375403205,-0.0650504160472128,0.15918984184101131,qwen,12.181818181818187,2,0.002263350388000263,0.5537190082644631,0.013580102328001577,True
pcs,higher positive correctness correlation is better,appfr,H12,12,11,True,0.2051649500448538,-0.04933450724320329,0.11322778613241764,0.2051649500448538,-0.04933450724320329,0.11322778613241764,qwen,11.636363636363654,2,0.0029730056986053306,0.5289256198347115,0.014865028493026653,True
pcs,higher positive correctness correlation is better,appfr,H14,14,24,True,0.2532207671484185,-0.046940091909254925,0.1750248061180223,0.2532207671484185,-0.046940091909254925,0.1750248061180223,qwen,24.25,2,5.422248370634151e-06,0.5052083333333334,6.506698044760981e-05,True
pcs,higher positive correctness correlation is better,appfr,H16,16,24,True,0.222206545213309,-0.01996566439980249,0.20096060909825775,0.222206545213309,-0.01996566439980249,0.20096060909825775,qwen,19.083333333333314,2,7.179708607360976e-05,0.39756944444444403,0.0005025796025152683,True
pcs,higher positive correctness correlation is better,appfr,H18,18,11,True,0.24749141284956525,-0.07168407889486154,0.202982149364101,0.24749141284956525,-0.07168407889486154,0.202982149364101,qwen,11.454545454545467,2,0.0032559449856857953,0.520661157024794,0.014865028493026653,True
pcs,higher positive correctness correlation is better,appfr,H20,20,10,True,0.20988870225200496,-0.03990207444538381,0.18992704919429523,0.20988870225200496,-0.03990207444538381,0.18992704919429523,qwen,5.400000000000006,2,0.06720551273974959,0.2700000000000003,0.06720551273974959,False
pcs,higher positive correctness correlation is better,appfr,H22,22,11,True,0.18805496993524312,-0.06903484249708272,0.23068287507069785,0.18805496993524312,-0.06903484249708272,0.23068287507069785,llava,11.090909090909093,2,0.003905167724273222,0.5041322314049588,0.014865028493026653,True
pcs,higher positive correctness correlation is better,appfr,H24,24,10,True,0.1720114491810696,-0.04901718859569382,0.22788104090462707,0.1720114491810696,-0.04901718859569382,0.22788104090462707,llava,7.800000000000011,2,0.020241911445804273,0.39000000000000057,0.04048382289160855,True
pcs,higher positive correctness correlation is better,appfr,H26,26,21,True,0.20732587190816076,-0.6867840519282876,0.22523832500584506,0.20732587190816076,-0.6867840519282876,0.22523832500584506,llava,28.66666666666663,2,5.958163628790348e-07,0.6825396825396817,9.533061806064557e-06,True
pcs,higher positive correctness correlation is better,appfr,H28,28,22,True,0.1782833400118132,-0.5561669806632679,0.2176290034207925,0.1782833400118132,-0.5561669806632679,0.2176290034207925,llava,22.090909090909122,2,1.595952791797131e-05,0.50206611570248,0.0001595952791797131,True
