metric,direction,approach,history,history_frames,friedman_holm_p,model_1,model_2,n_pairs,median_oriented_difference_model1_minus_model2,wilcoxon_statistic,raw_p,rank_biserial_model1_minus_model2,descriptive_better_model,holm_p,significant_holm,significant_better_model
pcs,higher positive correctness correlation is better,appfr,H02,2,0.00044572031417065117,internvl,llava,23,-0.059372435882598856,75.0,0.05625271797180176,-0.45652173913043476,llava,0.05625271797180176,False,No difference
pcs,higher positive correctness correlation is better,appfr,H04,4,5.713843333901565e-05,qwen,internvl,22,0.39241326670595655,5.0,4.76837158203125e-06,0.9604743083003953,qwen,1.430511474609375e-05,True,qwen
pcs,higher positive correctness correlation is better,appfr,H04,4,5.713843333901565e-05,qwen,llava,22,0.13329176809989565,25.0,0.00042819976806640625,0.8023715415019763,qwen,0.00042819976806640625,True,qwen
pcs,higher positive correctness correlation is better,appfr,H04,4,5.713843333901565e-05,internvl,llava,22,-0.22135819533042989,21.0,0.00021314620971679688,-0.83399209486166,llava,0.00042629241943359375,True,llava
pcs,higher positive correctness correlation is better,appfr,H06,6,5.713843333901565e-05,qwen,internvl,20,0.4333676424146508,5.0,1.9073486328125e-05,0.9523809523809523,qwen,3.814697265625e-05,True,qwen
pcs,higher positive correctness correlation is better,appfr,H06,6,5.713843333901565e-05,qwen,llava,20,0.09031846263988216,44.0,0.021484375,0.580952380952381,qwen,0.021484375,True,qwen
pcs,higher positive correctness correlation is better,appfr,H06,6,5.713843333901565e-05,internvl,llava,20,-0.24586013869464798,3.0,9.5367431640625e-06,-0.9714285714285714,llava,2.86102294921875e-05,True,llava
pcs,higher positive correctness correlation is better,appfr,H08,8,0.00044572031417065117,qwen,internvl,21,0.4242462127994214,11.0,5.245208740234375e-05,0.9047619047619048,qwen,0.00012302398681640625,True,qwen
pcs,higher positive correctness correlation is better,appfr,H08,8,0.00044572031417065117,qwen,llava,21,0.09467607681621021,49.0,0.01947307586669922,0.5757575757575758,qwen,0.01947307586669922,True,qwen
pcs,higher positive correctness correlation is better,appfr,H08,8,0.00044572031417065117,internvl,llava,21,-0.21495856243958367,10.0,4.100799560546875e-05,-0.9134199134199135,llava,0.00012302398681640625,True,llava
pcs,higher positive correctness correlation is better,appfr,H10,10,0.013580102328001577,qwen,internvl,11,0.31547330820388797,2.0,0.0029296875,0.9393939393939394,qwen,0.005859375,True,qwen
pcs,higher positive correctness correlation is better,appfr,H10,10,0.013580102328001577,qwen,llava,11,0.16151293180105472,14.0,0.1015625,0.5757575757575758,qwen,0.1015625,False,No difference
pcs,higher positive correctness correlation is better,appfr,H10,10,0.013580102328001577,internvl,llava,11,-0.2237588312499586,1.0,0.001953125,-0.9696969696969697,llava,0.005859375,True,llava
pcs,higher positive correctness correlation is better,appfr,H12,12,0.014865028493026653,qwen,internvl,11,0.2658527164040954,1.0,0.001953125,0.9696969696969697,qwen,0.005859375,True,qwen
pcs,higher positive correctness correlation is better,appfr,H12,12,0.014865028493026653,qwen,llava,11,0.12419246350348895,10.0,0.0419921875,0.696969696969697,qwen,0.0419921875,True,qwen
pcs,higher positive correctness correlation is better,appfr,H12,12,0.014865028493026653,internvl,llava,11,-0.18437977175086034,3.0,0.0048828125,-0.9090909090909091,llava,0.009765625,True,llava
pcs,higher positive correctness correlation is better,appfr,H14,14,6.506698044760981e-05,qwen,internvl,24,0.39126960287857826,13.0,1.049041748046875e-05,0.9133333333333333,qwen,3.147125244140625e-05,True,qwen
pcs,higher positive correctness correlation is better,appfr,H14,14,6.506698044760981e-05,qwen,llava,24,0.10109213935371147,64.0,0.012604832649230957,0.5733333333333334,qwen,0.012604832649230957,True,qwen
pcs,higher positive correctness correlation is better,appfr,H14,14,6.506698044760981e-05,internvl,llava,24,-0.22099104042290557,26.0,0.0001270771026611328,-0.8266666666666667,llava,0.0002541542053222656,True,llava
pcs,higher positive correctness correlation is better,appfr,H16,16,0.0005025796025152683,qwen,internvl,24,0.3300122100992672,21.0,5.328655242919922e-05,0.86,qwen,0.00015985965728759766,True,qwen
pcs,higher positive correctness correlation is better,appfr,H16,16,0.0005025796025152683,qwen,llava,24,0.11272194256349936,70.0,0.02112710475921631,0.5333333333333333,qwen,0.02112710475921631,True,qwen
pcs,higher positive correctness correlation is better,appfr,H16,16,0.0005025796025152683,internvl,llava,24,-0.21544930998524456,37.0,0.0006498098373413086,-0.7533333333333333,llava,0.0012996196746826172,True,llava
pcs,higher positive correctness correlation is better,appfr,H18,18,0.014865028493026653,qwen,internvl,11,0.3183809358397005,1.0,0.001953125,0.9696969696969697,qwen,0.005859375,True,qwen
pcs,higher positive correctness correlation is better,appfr,H18,18,0.014865028493026653,qwen,llava,11,0.12176032159722706,26.0,0.5771484375,0.21212121212121213,qwen,0.5771484375,False,No difference
pcs,higher positive correctness correlation is better,appfr,H18,18,0.014865028493026653,internvl,llava,11,-0.275051861969836,1.0,0.001953125,-0.9696969696969697,llava,0.005859375,True,llava
pcs,higher positive correctness correlation is better,appfr,H22,22,0.014865028493026653,qwen,internvl,11,0.36552441479988995,1.0,0.001953125,0.9696969696969697,qwen,0.005859375,True,qwen
pcs,higher positive correctness correlation is better,appfr,H22,22,0.014865028493026653,qwen,llava,11,-0.01986367584523721,33.0,1.0,0.0,tie,1.0,False,No difference
pcs,higher positive correctness correlation is better,appfr,H22,22,0.014865028493026653,internvl,llava,11,-0.3426363461684387,1.0,0.001953125,-0.9696969696969697,llava,0.005859375,True,llava
pcs,higher positive correctness correlation is better,appfr,H24,24,0.04048382289160855,qwen,internvl,10,0.2643256118154365,1.0,0.00390625,0.9636363636363636,qwen,0.01171875,True,qwen
pcs,higher positive correctness correlation is better,appfr,H24,24,0.04048382289160855,qwen,llava,10,0.033946063217786995,26.0,0.921875,0.05454545454545454,qwen,0.921875,False,No difference
pcs,higher positive correctness correlation is better,appfr,H24,24,0.04048382289160855,internvl,llava,10,-0.2839278603876174,3.0,0.009765625,-0.8909090909090909,llava,0.01953125,True,llava
pcs,higher positive correctness correlation is better,appfr,H26,26,9.533061806064557e-06,qwen,internvl,21,0.9859124232238181,0.0,9.5367431640625e-07,1.0,qwen,2.86102294921875e-06,True,qwen
pcs,higher positive correctness correlation is better,appfr,H26,26,9.533061806064557e-06,qwen,llava,21,0.0367357750248158,84.0,0.2877340316772461,0.2727272727272727,qwen,0.2877340316772461,False,No difference
pcs,higher positive correctness correlation is better,appfr,H26,26,9.533061806064557e-06,internvl,llava,21,-0.9398812096254331,4.0,6.67572021484375e-06,-0.9653679653679653,llava,1.33514404296875e-05,True,llava
pcs,higher positive correctness correlation is better,appfr,H28,28,0.0001595952791797131,qwen,internvl,22,0.8942542652272139,7.0,9.059906005859375e-06,0.9446640316205533,qwen,2.7179718017578125e-05,True,qwen
pcs,higher positive correctness correlation is better,appfr,H28,28,0.0001595952791797131,qwen,llava,22,0.01169724822056644,94.0,0.30530881881713867,0.25691699604743085,qwen,0.30530881881713867,False,No difference
pcs,higher positive correctness correlation is better,appfr,H28,28,0.0001595952791797131,internvl,llava,22,-0.8119762530611205,10.0,2.0503997802734375e-05,-0.9209486166007905,llava,4.100799560546875e-05,True,llava
pcs,higher positive correctness correlation is better,appfr,H30,30,4.7318157077553896e-05,qwen,internvl,24,0.8525966143069921,6.0,1.6689300537109375e-06,0.96,qwen,5.0067901611328125e-06,True,qwen
pcs,higher positive correctness correlation is better,appfr,H30,30,4.7318157077553896e-05,qwen,llava,24,0.006690644682989119,115.0,0.3305051326751709,0.23333333333333334,qwen,0.3305051326751709,False,No difference
pcs,higher positive correctness correlation is better,appfr,H30,30,4.7318157077553896e-05,internvl,llava,24,-0.7568388855482001,11.0,6.556510925292969e-06,-0.9266666666666666,llava,1.3113021850585938e-05,True,llava
pcs,higher positive correctness correlation is better,appfr,H32,32,7.700270979453961e-05,qwen,internvl,23,0.8282409180509498,6.0,3.337860107421875e-06,0.9565217391304348,qwen,1.0013580322265625e-05,True,qwen
pcs,higher positive correctness correlation is better,appfr,H32,32,7.700270979453961e-05,qwen,llava,23,0.024650191033545682,100.0,0.25945234298706055,0.2753623188405797,qwen,0.25945234298706055,False,No difference
pcs,higher positive correctness correlation is better,appfr,H32,32,7.700270979453961e-05,internvl,llava,23,-0.7364777739598947,9.0,7.867813110351562e-06,-0.9347826086956522,llava,1.5735626220703125e-05,True,llava
pcs,higher positive correctness correlation is better,appod,H02,2,0.0005859374066077207,qwen,internvl,23,0.29075056506665986,19.0,7.319450378417969e-05,0.8623188405797102,qwen,0.00014638900756835938,True,qwen
pcs,higher positive correctness correlation is better,appod,H02,2,0.0005859374066077207,qwen,llava,23,0.2001266495493487,10.0,1.0251998901367188e-05,0.927536231884058,qwen,3.075599670410156e-05,True,qwen
pcs,higher positive correctness correlation is better,appod,H02,2,0.0005859374066077207,internvl,llava,23,-0.02745222282174649,124.0,0.6868791580200195,-0.10144927536231885,llava,0.6868791580200195,False,No difference
